ctgy,business,bus_type,short_description,purpose,long_description,cost,points
Remote,Famous Foot Shoes Store,Shoe Store,Las Vegas,New Venture,A supply chain franchise providing consumer foot wear needs.,4000.00,40000
Remote,Famous Foot Shoes Store,Shoe Store,Washington DC,Meeting with Gov. Officials,A supply chain franchise providing consumer foot wear needs.,1300.00,13000
Remote,Famous Foot Shoes Store,Shoe Store,San Diego,Business Seminar,A supply chain franchise providing consumer foot wear needs.,1900.00,19000
Remote,Famous Foot Shoes Store,Shoe Store,Charleston,Office Training,A supply chain franchise providing consumer foot wear needs.,1000.00,10000
Remote,Famous Foot Shoes Store,Shoe Store,Orlando,New Office Opening,A supply chain franchise providing consumer foot wear needs.,2500.00,25000
Remote,Famous Foot Shoes Store,Shoe Store,Carribean Island,Employment Review,A supply chain franchise providing consumer foot wear needs.,3500,35000
Remote,Famous Foot Shoes Store,Shoe Store,Hawaian Island,Sales Review Meetings,A supply chain franchise providing consumer foot wear needs.,4500,45000
Remote,Famous Foot Shoes Store,Shoe Store,Key West,Land Development,A supply chain franchise providing consumer foot wear needs.,2500,25000
Remote,Famous Foot Shoes Store,Shoe Store,San Francisco,Equipment Procurement,A supply chain franchise providing consumer foot wear needs.,2500,25000
Remote,Famous Foot Shoes Store,Shoe Store,Houston,Supply Management,A supply chain franchise providing consumer foot wear needs.,2500,25000
